SNo,Size,ShiftCount,ComparisonCount
1,1000,991,499500
2,1999,1992,1997001
3,2998,2986,4492503
4,3997,3987,7986006
5,4996,4986,12477510
6,5995,5987,17967015
7,6994,6990,24454521
8,7993,7989,31940028
9,8992,8982,40423536
10,9991,9986,49905045
11,10990,10980,60384555
12,11989,11978,71862066
13,12988,12977,84337578
14,13987,13977,97811091
15,14986,14970,112282605
16,15985,15978,127752120
17,16984,16975,144219636
18,17983,17977,161685153
19,18982,18973,180148671
20,19981,19968,199610190
21,20980,20973,220069710
22,21979,21964,241527231
23,22978,22971,263982753
24,23977,23966,287436276
25,24976,24968,311887800
26,25975,25964,337337325
27,26974,26960,363784851
28,27973,27961,391230378
29,28972,28962,419673906
30,29971,29956,449115435
31,30970,30957,479554965
32,31969,31958,510992496
33,32968,32954,543428028
34,33967,33957,576861561
35,34966,34957,611293095
36,35965,35956,646722630
37,36964,36952,683150166
38,37963,37956,720575703
39,38962,38952,758999241
40,39961,39951,798420780
41,40960,40950,838840320
42,41959,41950,880257861
43,42958,42952,922673403
44,43957,43945,966086946
45,44956,44943,1010498490
46,45955,45946,1055908035
47,46954,46942,1102315581
48,47953,47940,1149721128
49,48952,48942,1198124676
50,49951,49940,1247526225
51,50950,50929,1297925775
52,51949,51937,1349323326
53,52948,52938,1401718878
54,53947,53930,1455112431
55,54946,54927,1509503985
56,55945,55935,1564893540
57,56944,56932,1621281096
58,57943,57934,1678666653
59,58942,58932,1737050211
60,59941,59932,1796431770
61,60940,60925,1856811330
62,61939,61929,1918188891
63,62938,62927,1980564453
64,63937,63922,2043938016
65,64936,64928,2108309580
66,65935,65920,2121288151
