SNo,Size,ShiftCount,ComparisonCount
1,1000,247921,999
2,1999,1017168,1998
3,2998,2282198,2997
4,3997,4070093,3996
5,4996,6369787,4995
6,5995,9121537,5994
7,6994,12274072,6993
8,7993,16088130,7992
9,8992,20389514,8991
10,9991,25120001,9990
11,10990,30520600,10989
12,11989,35844908,11988
13,12988,42114174,12987
14,13987,48909453,13986
15,14986,56310062,14985
16,15985,63819005,15984
17,16984,72356062,16983
18,17983,81352836,17982
19,18982,90034363,18981
20,19981,99429314,19980
21,20980,110100684,20979
22,21979,120981513,21978
23,22978,132294689,22977
24,23977,143405649,23976
25,24976,155453966,24975
26,25975,168217535,25974
27,26974,181729617,26973
28,27973,195801638,27972
29,28972,210061338,28971
30,29971,224899778,29970
31,30970,239498136,30969
32,31969,255962339,31968
33,32968,271977460,32967
34,33967,288656963,33966
35,34966,305769337,34965
36,35965,323796180,35964
37,36964,341379315,36963
38,37963,360128093,37962
39,38962,378455958,38961
40,39961,400758532,39960
41,40960,418768845,40959
42,41959,438936229,41958
43,42958,460894562,42957
44,43957,484385927,43956
45,44956,505719276,44955
46,45955,526642367,45954
47,46954,551319351,46953
48,47953,570986625,47952
49,48952,599672906,48951
50,49951,625521355,49950
51,50950,652178274,50949
52,51949,678080997,51948
53,52948,699468595,52947
54,53947,729110297,53946
55,54946,753258531,54945
56,55945,780574236,55944
57,56944,812615022,56943
58,57943,840973642,57942
59,58942,866618229,58941
60,59941,898947155,59940
61,60940,931381399,60939
62,61939,961051915,61938
63,62938,990906031,62937
64,63937,1025823664,63936
65,64936,1055441576,64935
66,65935,1089730864,65934
67,66934,1121614866,66933
68,67933,1151405258,67932
69,68932,1193933547,68931
70,69931,1220917074,69930
71,70930,1253361813,70929
72,71929,1295458483,71928
73,72928,1325766068,72927
74,73927,1362579626,73926
75,74926,1402492450,74925
76,75925,1438507464,75924
77,76924,1482038469,76923
78,77923,1512122501,77922
79,78922,1555566006,78921
80,79921,1600882949,79920
81,80920,1634700511,80919
82,81919,1685380684,81918
83,82918,1713267963,82917
84,83917,1758113352,83916
85,84916,1804055269,84915
86,85915,1851023159,85914
87,86914,1882333577,86913
88,87913,1932061341,87912
89,88912,1980136436,88911
90,89911,2014570349,89910
91,90910,2069968986,90909
92,91909,2114847755,91908
93,92908,2144552731,92907
