SNo,Size,ShiftCount,ComparisonCount
1,1000,245871,8707
2,1999,993821,19384
3,2998,2252265,30896
4,3997,4018475,42821
5,4996,6328350,55196
6,5995,9103292,67752
7,6994,12407775,80673
8,7993,16064919,93519
9,8992,20347724,106820
10,9991,24826303,120351
11,10990,30015761,133962
12,11989,36054321,147554
13,12988,41931355,161391
14,13987,49005873,175269
15,14986,56524794,189097
16,15985,64468610,203027
17,16984,72692711,217322
18,17983,81440250,231672
19,18982,90852379,246290
20,19981,100919636,260614
21,20980,111126266,275168
22,21979,121749178,289667
23,22978,132800826,304206
24,23977,144794011,318965
25,24976,156326932,333673
26,25975,168862765,348526
27,26974,182408587,363373
28,27973,195808118,378183
29,28972,210509850,393106
30,29971,225408874,408014
31,30970,239937304,423149
32,31969,255573626,438103
33,32968,271046424,453210
34,33967,287962235,468391
35,34966,305045880,483895
36,35965,323708623,499204
37,36964,341912090,514831
38,37963,360037583,530334
39,38962,379368179,545687
40,39961,400097028,561154
41,40960,420181064,576552
42,41959,441951176,592061
43,42958,463113810,607877
44,43957,483941803,623375
45,44956,506773665,639337
46,45955,530144491,654624
47,46954,553182492,670241
48,47953,576172298,686101
49,48952,599865234,701748
50,49951,624572689,717311
51,50950,649372739,733443
52,51949,675345336,748921
53,52948,702177589,764906
54,53947,727641578,780867
55,54946,753950167,797024
56,55945,781805704,812510
57,56944,810066718,828652
58,57943,838030788,844560
59,58942,867013168,860684
60,59941,897690607,876273
61,60940,927576241,892316
62,61939,958185129,908237
63,62938,988014198,924145
64,63937,1019678626,940171
65,64936,1052135451,956202
66,65935,1085871180,972246
67,66934,1120263193,988745
68,67933,1152722536,1005126
69,68932,1185780109,1021442
70,69931,1219698596,1037971
71,70930,1254891801,1054408
72,71929,1291257172,1070672
73,72928,1328166516,1087088
74,73927,1364047499,1103215
75,74926,1401994861,1119672
76,75925,1439778960,1136022
77,76924,1478727604,1152649
78,77923,1517153072,1168983
79,78922,1556706398,1185565
80,79921,1593944953,1202185
81,80920,1634879794,1218550
82,81919,1676624637,1235171
83,82918,1718079774,1251891
84,83917,1760063264,1268264
85,84916,1803069534,1284817
86,85915,1846026516,1301619
87,86914,1889068775,1318071
88,87913,1934180488,1334734
89,88912,1976743243,1351312
90,89911,2021184354,1367964
91,90910,2067220690,1384743
92,91909,2110983116,1400922
