SNo,Time,Flag,Size,Iterations,Key
1,2e-06,1,100,12,113
2,1e-06,1,300,14,113
3,1e-06,1,500,32,678
4,1e-06,1,700,46,1283
5,1e-06,1,900,44,1473
6,1e-06,1,1100,40,1473
7,1e-06,1,1300,18,1305
8,1e-06,1,1500,34,1473
9,0,1,1700,32,53
10,0,1,1900,35,2939
11,1e-06,1,2100,24,1305
12,1e-06,1,2300,85,3934
13,1e-06,1,2500,63,3934
14,1e-06,1,2700,73,5355
15,1e-06,1,2900,64,3904
16,1e-06,1,3100,58,3294
17,1e-06,1,3300,102,5979
18,0,1,3500,49,3294
19,1e-06,1,3700,46,830
20,1e-06,1,3900,24,1305
21,2e-06,1,4100,27,3363
22,1e-06,1,4300,57,4586
23,1e-06,1,4500,92,7565
24,1e-06,1,4700,49,3085
25,1e-06,1,4900,35,1305
26,1e-06,1,5100,14,1664
27,1e-06,1,5300,116,9885
28,2e-06,1,5500,86,9814
29,1e-06,1,5700,6,473
30,1e-06,1,5900,82,3294
31,1e-06,1,6100,142,11208
32,1e-06,1,6300,39,1305
33,1e-06,1,6500,70,8332
34,1e-06,1,6700,28,1305
35,1e-06,1,6900,51,2714
36,1e-06,1,7100,56,8295
37,2e-06,1,7300,106,7975
38,1e-06,1,7500,106,11835
39,1e-06,1,7700,55,1328
40,1e-06,1,7900,71,9617
41,1e-06,1,8100,124,16064
42,1e-06,1,8300,137,11688
43,1e-06,1,8500,30,53
44,2e-06,1,8700,151,15363
45,1e-06,1,8900,101,16976
46,1e-06,1,9100,81,1305
47,1e-06,1,9300,98,3294
48,1e-06,1,9500,144,15863
49,2e-06,1,9700,136,17022
50,2e-06,1,9900,143,17022
51,1e-06,1,10100,32,860
52,1e-06,1,10300,51,7489
53,2e-06,1,10500,198,20365
54,1e-06,1,10700,133,16394
55,1e-06,1,10900,34,4004
56,1e-06,1,11100,176,21746
57,1e-06,1,11300,64,7489
58,1e-06,1,11500,57,11559
59,1e-06,1,11700,19,1305
60,1e-06,1,11900,67,13317
61,2e-06,1,12100,135,14655
62,2e-06,1,12300,130,21768
63,1e-06,1,12500,103,8548
64,1e-06,1,12700,46,5858
65,1e-06,1,12900,134,14598
66,2e-06,1,13100,124,22130
67,1e-06,1,13300,98,7899
68,2e-06,1,13500,170,20614
69,2e-06,1,13700,166,27255
70,1e-06,1,13900,128,17889
71,2e-06,1,14100,180,25327
72,1e-06,1,14300,158,9617
73,1e-06,1,14500,174,22589
74,1e-06,1,14700,60,1305
75,1e-06,1,14900,114,9531
76,2e-06,1,15100,118,5752
77,2e-06,1,15300,142,16480
78,1e-06,1,15500,176,20365
79,1e-06,1,15700,159,25107
80,2e-06,1,15900,222,29219
81,2e-06,1,16100,213,29219
82,2e-06,1,16300,141,16108
83,2e-06,1,16500,237,32743
84,2e-06,1,16700,179,28096
85,2e-06,1,16900,240,31773
86,2e-06,1,17100,120,16719
87,1e-06,1,17300,145,29810
88,2e-06,1,17500,173,30078
89,2e-06,1,17700,122,20365
90,2e-06,1,17900,189,32746
91,1e-06,1,18100,70,7626
92,2e-06,1,18300,190,28431
93,3e-06,1,18500,211,29810
94,2e-06,1,18700,184,30557
95,2e-06,1,18900,78,5858
96,1e-06,1,19100,85,988
97,2e-06,1,19300,215,34265
98,2e-06,1,19500,147,32746
99,1e-06,1,19700,229,30641
100,2e-06,1,19900,137,34265
101,1e-06,1,20100,84,1305
102,1e-06,1,20300,127,17252
103,1e-06,1,20500,120,9868
104,1e-06,1,20700,190,29219
105,1e-06,1,20900,149,5961
106,1e-06,1,21100,55,9838
107,2e-06,1,21300,206,34779
108,1e-06,1,21500,107,11638
109,2e-06,1,21700,153,20365
110,2e-06,1,21900,281,40885
111,1e-06,1,22100,192,30557
112,2e-06,1,22300,222,34914
113,2e-06,1,22500,225,36031
114,1e-06,1,22700,162,35905
115,1e-06,1,22900,131,27457
116,2e-06,1,23100,227,34165
117,1e-06,1,23300,31,9186
118,1e-06,1,23500,132,11638
119,2e-06,1,23700,166,9471
120,2e-06,1,23900,217,46639
121,2e-06,1,24100,194,45609
122,1e-06,1,24300,123,9471
123,2e-06,1,24500,165,41187
124,2e-06,1,24700,161,38115
125,2e-06,1,24900,178,22079
126,2e-06,1,25100,205,16480
127,3e-06,1,25300,161,37304
128,2e-06,1,25500,178,16480
129,1e-06,1,25700,193,22079
130,5e-06,1,25900,191,30929
131,2e-06,1,26100,229,32138
132,1e-06,1,26300,114,13114
133,1e-06,1,26500,139,29219
134,2e-06,1,26700,218,19592
135,1e-06,1,26900,106,22774
136,1e-06,1,27100,171,13399
137,2e-06,1,27300,159,1305
138,2e-06,1,27500,126,24520
139,2e-06,1,27700,234,34165
140,2e-06,1,27900,218,44516
141,2e-06,1,28100,182,7614
142,2e-06,1,28300,284,47255
143,2e-06,1,28500,169,18418
144,2e-06,1,28700,183,34914
145,2e-06,1,28900,257,52562
146,2e-06,1,29100,148,32743
147,1e-06,1,29300,95,15538
148,1e-06,1,29500,92,20365
149,1e-06,1,29700,85,2622
150,1e-06,1,29900,45,11398
151,2e-06,1,30100,131,17252
152,2e-06,1,30300,170,35995
153,2e-06,1,30500,194,50594
154,2e-06,1,30700,172,39959
155,5e-06,1,30900,296,61506
156,2e-06,1,31100,185,38115
157,1e-06,1,31300,60,20886
158,2e-06,1,31500,296,55874
159,2e-06,1,31700,192,41263
160,1e-06,1,31900,122,17252
161,1e-06,1,32100,42,11398
162,1e-06,1,32300,183,7793
