SNo,Time,Count,Size,Iterations,Key
1,2.6e-05,2,100,307,6
2,3e-05,2,300,915,10
3,5e-05,3,500,1831,223
4,7.9e-05,2,700,2218,87
5,0.000104,5,900,2699,1
6,9.3e-05,2,1100,3425,82
7,0.000141,3,1300,4060,100
8,0.000141,2,1500,5445,636
9,0.000204,2,1700,6239,735
10,0.000156,2,1900,5843,96
11,0.000192,4,2100,6376,48
12,0.000194,2,2300,8608,1142
13,0.000233,2,2500,8539,684
14,0.00025,2,2700,8158,47
15,0.000271,3,2900,9223,357
16,0.000288,3,3100,10127,560
17,0.000328,2,3300,11568,1070
18,0.000362,2,3500,11119,410
19,0.000363,3,3700,12977,1206
20,0.000326,3,3900,12353,442
21,0.000343,2,4100,16150,2551
22,0.000357,3,4300,13973,709
23,0.000485,3,4500,16472,1954
24,0.000446,2,4700,14389,194
25,0.000427,4,4900,18317,2398
26,0.000436,2,5100,15378,57
27,0.000513,2,5300,20059,2737
28,0.000554,3,5500,18150,1061
29,0.000553,3,5700,19388,1537
30,0.00058,2,5900,18711,680
31,0.00059,2,6100,22794,2941
32,0.000615,2,6300,23852,3276
33,0.000647,2,6500,22067,1692
34,0.000642,2,6700,24579,2959
35,0.000661,3,6900,22371,1125
36,0.000678,2,7100,27344,3983
37,0.000715,2,7300,29131,4769
38,0.000731,2,7500,28371,3865
39,0.000735,3,7700,23458,270
40,0.000766,2,7900,28558,3207
41,0.000794,3,8100,29226,3248
42,0.000819,4,8300,31902,4634
43,0.00087,2,8500,33668,5373
44,0.000855,2,8700,27152,704
45,0.000899,6,8900,32011,3531
46,0.000908,6,9100,31002,2391
47,0.001026,2,9300,31889,2594
48,0.000979,2,9500,35679,4748
49,0.000985,3,9700,34587,3650
50,0.001022,3,9900,36164,4226
51,0.000942,2,10100,33063,1806
52,0.000964,4,10300,33552,1742
53,0.000995,3,10500,34039,1660
54,0.000964,2,10700,33410,899
55,0.000977,2,10900,35495,1848
56,0.001017,2,11100,36975,2430
57,0.001003,3,11300,35696,1170
58,0.001065,2,11500,45268,7112
59,0.00107,2,11700,44616,6325
60,0.001101,3,11900,36107,234
61,0.001093,2,12100,44150,5183
62,0.001207,3,12300,39110,1490
63,0.001124,2,12500,41247,2542
64,0.001148,3,12700,44446,4187
65,0.001145,4,12900,40069,866
66,0.001164,3,13100,44706,3635
67,0.001179,3,13300,46559,4381
68,0.001214,2,13500,43983,2309
69,0.001255,5,13700,49710,5714
70,0.001335,2,13900,53854,8059
71,0.001331,2,14100,52625,6844
72,0.001346,4,14300,52694,6405
73,0.001363,3,14500,47176,2386
74,0.001379,3,14700,45563,961
75,0.001407,2,14900,52203,4928
76,0.001413,2,15100,47634,1540
77,0.001475,2,15300,57016,7335
78,0.001475,3,15500,50972,2983
79,0.001502,3,15700,50657,2344
80,0.001499,4,15900,48440,464
81,0.001542,4,16100,60122,7795
82,0.001529,3,16300,55812,4576
83,0.001549,3,16500,57763,5303
84,0.001588,2,16700,59815,6384
85,0.001612,3,16900,56995,4187
86,0.00164,2,17100,68278,11207
87,0.001575,3,17300,67016,9961
88,0.001615,2,17500,57987,3645
89,0.001642,2,17700,62082,5842
90,0.001663,2,17900,67424,9033
91,0.0017,4,18100,59795,3602
92,0.001689,2,18300,62862,5289
93,0.001696,2,18500,57544,1375
94,0.001745,4,18700,61758,3725
95,0.00176,2,18900,72300,10312
96,0.001788,2,19100,76025,12374
97,0.001818,2,19300,63128,3508
98,0.001824,2,19500,58987,328
99,0.001825,2,19700,64207,3404
100,0.002154,2,19900,62915,2187
101,0.001865,2,20100,75791,10208
102,0.001878,2,20300,66657,3715
103,0.001926,3,20500,72407,7148
104,0.002837,5,20700,75160,8662
105,0.001971,2,20900,73082,6981
106,0.001986,2,21100,73967,7023
107,0.00198,2,21300,69606,3826
108,0.002347,3,21500,85628,13956
109,0.002111,3,21700,86349,14037
110,0.002095,2,21900,74241,5695
111,0.00209,3,22100,75321,6035
112,0.002103,2,22300,70986,2602
113,0.002205,3,22500,71983,2998
114,0.00229,2,22700,72250,2698
115,0.002248,3,22900,84886,10726
116,0.00233,4,23100,70892,1120
117,0.002331,3,23300,92297,14815
118,0.002271,4,23500,91602,13939
119,0.002255,2,23700,71869,496
120,0.002235,2,23900,72785,696
121,0.002236,3,24100,82217,6511
122,0.002276,3,24300,82986,6614
123,0.002278,2,24500,81359,5199
124,0.002404,2,24700,80591,4303
125,0.002325,2,24900,83203,5632
126,0.002316,2,25100,81451,4028
127,0.002365,3,25300,93324,11511
128,0.002384,4,25500,79756,2184
129,0.002399,3,25700,101934,16356
130,0.002434,2,25900,90562,8489
131,0.002415,3,26100,88711,6816
132,0.002477,2,26300,103049,15955
133,0.002487,2,26500,102525,15209
134,0.002458,2,26700,90139,6618
135,0.002468,4,26900,82375,1123
136,0.00254,3,27100,98069,11057
137,0.00254,2,27300,90489,5714
138,0.002569,2,27500,104660,14626
139,0.002551,2,27700,86992,2546
140,0.002579,2,27900,88750,3348
141,0.002587,4,28100,95910,7618
142,0.002587,3,28300,88222,2162
143,0.002635,4,28500,104097,12345
144,0.00262,3,28700,90530,2948
145,0.002674,2,28900,105734,12620
146,0.002665,4,29100,91815,2944
147,0.002718,2,29300,113817,17094
148,0.002704,2,29500,91305,1904
149,0.002794,2,29700,111250,14577
150,0.002833,2,29900,92754,1986
151,0.002824,3,30100,113423,15346
152,0.002833,2,30300,110220,12759
153,0.003421,3,30500,116369,16427
154,0.002863,2,30700,95187,2047
155,0.002886,2,30900,116234,15500
156,0.002983,3,31100,121678,18744
157,0.002926,2,31300,112259,12120
158,0.002934,2,31500,112466,11845
159,0.00292,3,31700,108448,8802
160,0.002972,2,31900,121942,17312
161,0.002994,4,32100,121173,16435
162,0.00298,2,32300,105031,5394
163,0.003021,3,32500,121609,15954
164,0.003004,2,32700,106356,5479
165,0.0031,2,32900,118247,12926
166,0.004641,2,33100,107242,5182
167,0.004734,2,33300,121557,14334
168,0.0039,2,33500,102786,1464
169,0.003155,2,33700,109682,5600
170,0.003534,3,33900,115501,9006
171,0.003203,6,34100,121839,12918
172,0.00323,2,34300,118555,10297
173,0.003215,3,34500,104391,577
174,0.003308,2,34700,115180,7275
175,0.003307,4,34900,127769,15185
176,0.003291,4,35100,116547,7419
177,0.003358,4,35300,126700,13656
178,0.003383,2,35500,128808,14782
179,0.003393,4,35700,115016,5319
180,0.003394,2,35900,111581,2567
181,0.003508,3,36100,128487,13446
182,0.003421,2,36300,111251,1630
183,0.003497,4,36500,141201,20957
184,0.003472,2,36700,125765,10324
185,0.003485,3,36900,116481,3811
186,0.003549,2,37100,116794,3576
187,0.003598,2,37300,142120,19904
188,0.003595,2,37500,142953,20050
189,0.003603,2,37700,126364,8727
190,0.003633,4,37900,116308,1725
191,0.003634,4,38100,115315,658
192,0.00366,2,38300,126259,7608
193,0.003679,2,38500,122081,4458
194,0.003709,2,38700,117765,1130
195,0.003778,4,38900,139733,15252
