SNo,Time,Size,Iterations,Count
205,0.000451,2140,54362,2140
206,0.000423,2150,55196,2150
207,0.000449,2160,57180,2160
208,0.000484,2170,56784,2170
209,0.000464,2180,60962,2180
210,0.000463,2190,53936,2190
211,0.000468,2200,55742,2200
212,0.000479,2210,57928,2210
213,0.000467,2220,54866,2220
214,0.000526,2230,56400,2230
215,0.000473,2240,60262,2240
216,0.000521,2250,60236,2250
217,0.000471,2260,60934,2260
218,0.000481,2270,60696,2270
219,0.000492,2280,59462,2280
220,0.000536,2290,61916,2290
221,0.000502,2300,60592,2300
222,0.000474,2310,59730,2310
223,0.000495,2320,58062,2320
224,0.000499,2330,61464,2330
225,0.000485,2340,59034,2340
226,0.00056,2350,65094,2350
227,0.000511,2360,62472,2360
228,0.000485,2370,59208,2370
229,0.000536,2380,62972,2380
230,0.00054,2390,62814,2390
231,0.00054,2400,64010,2400
232,0.000538,2410,75416,2410
233,0.000492,2420,65124,2420
234,0.000539,2430,67948,2430
235,0.000511,2440,65232,2440
236,0.000502,2450,71484,2450
237,0.000583,2460,65858,2460
238,0.000524,2470,65804,2470
239,0.000551,2480,65032,2480
240,0.000562,2490,72742,2490
241,0.000534,2500,67200,2500
242,0.000603,2510,74016,2510
243,0.000534,2520,61646,2520
244,0.000529,2530,61560,2530
245,0.000558,2540,68058,2540
246,0.000528,2550,65096,2550
247,0.000604,2560,64336,2560
248,0.000542,2570,64516,2570
249,0.000585,2580,66796,2580
250,0.000567,2590,71170,2590
251,0.000581,2600,76162,2600
252,0.000609,2610,73814,2610
253,0.000563,2620,65866,2620
254,0.000578,2630,71958,2630
255,0.000623,2640,70474,2640
256,0.000624,2650,74424,2650
257,0.000586,2660,66934,2660
258,0.000584,2670,72588,2670
259,0.000576,2680,71824,2680
260,0.000567,2690,71662,2690
261,0.000592,2700,73552,2700
262,0.000654,2710,72298,2710
263,0.000591,2720,71912,2720
264,0.000598,2730,74306,2730
265,0.000626,2740,79784,2740
266,0.000653,2750,81570,2750
267,0.000603,2760,76800,2760
268,0.000599,2770,71654,2770
269,0.000599,2780,72518,2780
270,0.000592,2790,72388,2790
271,0.000627,2800,83936,2800
272,0.000625,2810,77060,2810
273,0.000587,2820,77864,2820
274,0.000598,2830,73382,2830
275,0.000647,2840,80134,2840
276,0.000658,2850,75070,2850
277,0.000641,2860,78044,2860
278,0.000634,2870,76596,2870
279,0.000656,2880,75190,2880
280,0.000686,2890,83190,2890
281,0.000641,2900,74786,2900
282,0.000659,2910,78070,2910
283,0.000742,2920,91488,2920
284,0.000622,2930,75850,2930
285,0.000677,2940,77246,2940
286,0.000625,2950,85628,2950
287,0.00072,2960,84752,2960
288,0.00065,2970,76812,2970
289,0.000737,2980,80200,2980
290,0.000771,2990,90198,2990
291,0.000648,3000,77538,3000
292,0.000651,3010,81818,3010
293,0.000661,3020,79642,3020
294,0.00071,3030,81964,3030
295,0.000653,3040,78782,3040
296,0.000676,3050,78932,3050
297,0.000687,3060,84740,3060
298,0.000725,3070,85886,3070
299,0.000667,3080,82010,3080
300,0.000743,3090,94646,3090
301,0.00069,3100,80166,3100
302,0.000713,3110,85874,3110
303,0.000771,3120,89516,3120
304,0.00087,3130,97452,3130
305,0.000696,3140,83942,3140
306,0.000684,3150,82392,3150
307,0.000722,3160,97170,3160
308,0.000721,3170,83876,3170
309,0.000701,3180,85026,3180
310,0.000693,3190,89252,3190
311,0.000705,3200,91182,3200
312,0.000703,3210,81434,3210
313,0.0007,3220,86972,3220
314,0.000711,3230,83752,3230
315,0.000721,3240,92508,3240
316,0.000769,3250,92654,3250
317,0.000771,3260,96352,3260
318,0.000749,3270,89830,3270
319,0.000789,3280,88080,3280
320,0.00075,3290,88362,3290
321,0.000732,3300,93122,3300
322,0.000762,3310,97808,3310
323,0.000778,3320,93256,3320
324,0.000737,3330,90292,3330
325,0.000734,3340,92708,3340
326,0.000796,3350,95440,3350
327,0.000789,3360,88766,3360
328,0.00078,3370,99606,3370
329,0.000763,3380,92126,3380
330,0.000761,3390,91654,3390
331,0.000799,3400,92564,3400
332,0.00076,3410,91652,3410
333,0.000779,3420,100080,3420
334,0.000763,3430,92030,3430
335,0.000804,3440,97064,3440
336,0.00078,3450,96614,3450
337,0.00078,3460,97900,3460
338,0.000807,3470,97106,3470
339,0.000795,3480,97004,3480
340,0.000774,3490,97786,3490
341,0.00076,3500,95948,3500
342,0.000849,3510,100308,3510
343,0.000761,3520,97352,3520
344,0.000799,3530,104214,3530
345,0.000819,3540,94388,3540
346,0.000814,3550,100186,3550
347,0.000906,3560,113816,3560
348,0.000812,3570,99456,3570
349,0.000902,3580,100332,3580
350,0.000801,3590,98726,3590
351,0.000829,3600,103122,3600
352,0.000927,3610,117200,3610
353,0.000838,3620,110862,3620
354,0.000869,3630,119030,3630
355,0.000883,3640,102570,3640
356,0.000908,3650,114106,3650
357,0.000864,3660,110282,3660
358,0.00081,3670,103626,3670
359,0.000985,3680,110862,3680
360,0.00089,3690,114070,3690
361,0.000918,3700,107430,3700
362,0.000848,3710,102446,3710
363,0.000855,3720,102682,3720
364,0.00079,3730,101998,3730
365,0.000868,3740,110642,3740
366,0.000867,3750,103376,3750
367,0.000828,3760,103414,3760
368,0.000917,3770,109688,3770
369,0.000933,3780,108664,3780
370,0.000854,3790,106520,3790
371,0.00085,3800,102836,3800
372,0.000941,3810,111052,3810
373,0.000886,3820,108372,3820
374,0.00087,3830,107072,3830
375,0.000851,3840,101174,3840
376,0.000898,3850,102400,3850
377,0.000887,3860,108408,3860
378,0.000863,3870,107932,3870
379,0.000906,3880,111548,3880
380,0.000912,3890,113658,3890
381,0.000894,3900,111298,3900
382,0.000907,3910,115958,3910
383,0.000889,3920,107180,3920
384,0.000875,3930,106080,3930
385,0.000908,3940,117262,3940
386,0.000955,3950,110110,3950
387,0.000868,3960,110404,3960
388,0.000885,3970,111450,3970
389,0.0009,3980,109944,3980
390,0.000877,3990,114010,3990
391,0.000902,4000,111672,4000
392,0.000953,4010,109988,4010
393,0.000965,4020,115578,4020
394,0.000948,4030,119928,4030
395,0.000991,4040,118790,4040
396,0.000889,4050,117664,4050
397,0.00097,4060,127278,4060
398,0.000908,4070,110294,4070
399,0.000949,4080,112254,4080
400,0.000911,4090,112680,4090
401,0.000993,4100,114910,4100
402,0.001015,4110,120372,4110
403,0.000929,4120,115008,4120
404,0.00093,4130,120664,4130
405,0.000926,4140,119056,4140
406,0.000924,4150,112982,4150
407,0.000938,4160,115682,4160
408,0.000956,4170,115360,4170
409,0.000924,4180,120212,4180
410,0.000936,4190,115428,4190
411,0.000972,4200,119112,4200
412,0.000969,4210,120682,4210
413,0.000979,4220,119582,4220
414,0.000988,4230,123164,4230
415,0.000974,4240,122818,4240
416,0.000955,4250,117210,4250
417,0.00102,4260,121322,4260
418,0.00095,4270,120546,4270
419,0.000975,4280,113632,4280
420,0.001077,4290,125150,4290
421,0.001055,4300,127582,4300
422,0.000992,4310,124778,4310
423,0.001093,4320,133170,4320
424,0.001014,4330,122390,4330
425,0.001036,4340,124282,4340
426,0.001018,4350,127696,4350
427,0.000991,4360,125188,4360
428,0.001031,4370,122286,4370
429,0.001024,4380,127924,4380
430,0.001117,4390,145944,4390
431,0.001051,4400,135762,4400
432,0.001058,4410,135116,4410
433,0.001011,4420,122670,4420
434,0.001114,4430,142572,4430
435,0.000976,4440,129864,4440
436,0.001042,4450,129584,4450
437,0.001018,4460,124428,4460
438,0.00098,4470,134066,4470
439,0.00112,4480,137688,4480
440,0.001121,4490,142192,4490
441,0.000982,4500,128284,4500
442,0.001083,4510,138652,4510
443,0.001068,4520,126250,4520
444,0.001068,4530,128492,4530
445,0.001037,4540,128412,4540
446,0.001087,4550,129940,4550
447,0.001054,4560,126180,4560
448,0.001087,4570,132416,4570
449,0.001007,4580,128824,4580
450,0.001097,4590,134864,4590
451,0.001073,4600,143508,4600
452,0.001107,4610,144176,4610
453,0.001031,4620,133592,4620
454,0.00107,4630,130364,4630
455,0.001054,4640,132020,4640
456,0.001069,4650,126172,4650
457,0.001068,4660,135762,4660
458,0.001094,4670,136692,4670
459,0.001155,4680,130968,4680
460,0.001087,4690,137472,4690
461,0.001082,4700,133782,4700
462,0.001112,4710,131838,4710
463,0.001118,4720,141350,4720
464,0.001102,4730,138716,4730
465,0.001138,4740,138150,4740
466,0.001146,4750,139392,4750
467,0.001116,4760,140846,4760
468,0.001118,4770,148886,4770
469,0.00115,4780,142782,4780
470,0.001129,4790,147120,4790
471,0.001098,4800,135170,4800
472,0.001081,4810,138404,4810
473,0.001184,4820,141556,4820
474,0.001155,4830,157520,4830
475,0.001179,4840,142778,4840
476,0.001252,4850,156082,4850
477,0.00116,4860,143346,4860
478,0.00116,4870,144270,4870
479,0.001161,4880,150176,4880
480,0.001148,4890,142286,4890
481,0.001126,4900,143440,4900
482,0.001175,4910,149842,4910
483,0.001176,4920,137630,4920
484,0.001177,4930,143388,4930
485,0.001151,4940,157130,4940
486,0.001193,4950,146702,4950
487,0.001131,4960,142480,4960
488,0.001197,4970,146324,4970
489,0.001175,4980,142020,4980
490,0.001195,4990,146248,4990
491,0.00123,5000,159382,5000
492,0.001174,5010,145568,5010
493,0.00159,5020,147930,5020
494,0.001195,5030,143344,5030
495,0.001181,5040,147552,5040
496,0.001224,5050,147682,5050
497,0.001173,5060,143082,5060
498,0.001197,5070,142454,5070
499,0.001173,5080,148542,5080
500,0.001158,5090,141970,5090
501,0.001163,5100,147856,5100
502,0.001145,5110,146728,5110
503,0.00159,5120,146488,5120
504,0.00136,5130,145240,5130
505,0.001306,5140,149670,5140
506,0.001258,5150,152952,5150
507,0.00121,5160,147528,5160
508,0.001177,5170,148122,5170
509,0.001146,5180,144044,5180
510,0.001247,5190,146662,5190
511,0.001241,5200,151700,5200
512,0.001352,5210,157942,5210
513,0.001284,5220,154656,5220
514,0.001264,5230,154440,5230
515,0.001228,5240,151220,5240
516,0.001244,5250,148104,5250
517,0.001283,5260,166628,5260
518,0.001279,5270,147434,5270
519,0.001384,5280,179110,5280
520,0.001312,5290,153292,5290
521,0.001268,5300,150254,5300
522,0.001244,5310,157066,5310
523,0.001225,5320,154206,5320
524,0.001295,5330,158942,5330
525,0.001403,5340,154810,5340
526,0.001205,5350,152316,5350
527,0.001325,5360,168344,5360
528,0.001345,5370,157004,5370
529,0.001335,5380,158682,5380
530,0.001456,5390,151734,5390
531,0.001577,5400,154762,5400
532,0.001307,5410,162290,5410
533,0.001348,5420,159380,5420
534,0.001281,5430,157990,5430
535,0.001411,5440,166794,5440
536,0.001276,5450,162434,5450
537,0.001325,5460,161170,5460
538,0.001307,5470,171112,5470
539,0.001263,5480,160672,5480
540,0.001391,5490,170432,5490
541,0.001425,5500,169494,5500
542,0.001335,5510,163106,5510
543,0.001222,5520,168280,5520
544,0.001355,5530,164386,5530
545,0.001277,5540,165558,5540
546,0.001399,5550,176230,5550
547,0.00128,5560,153202,5560
548,0.00133,5570,173890,5570
549,0.001383,5580,167408,5580
550,0.001356,5590,166226,5590
551,0.001335,5600,164292,5600
552,0.001454,5610,194376,5610
553,0.001525,5620,180810,5620
554,0.001441,5630,167572,5630
555,0.001368,5640,170782,5640
556,0.001289,5650,156190,5650
557,0.001307,5660,164788,5660
558,0.001388,5670,166756,5670
559,0.001407,5680,178300,5680
560,0.001396,5690,169918,5690
561,0.001317,5700,159356,5700
562,0.00137,5710,169168,5710
563,0.001349,5720,165902,5720
564,0.001371,5730,179606,5730
565,0.001322,5740,160390,5740
566,0.001391,5750,171574,5750
567,0.001356,5760,179224,5760
568,0.001375,5770,172984,5770
569,0.0014,5780,178284,5780
570,0.001409,5790,171872,5790
571,0.001409,5800,174010,5800
572,0.001411,5810,179694,5810
573,0.001455,5820,173952,5820
574,0.001367,5830,172226,5830
575,0.001474,5840,182796,5840
576,0.001351,5850,168592,5850
577,0.001498,5860,186226,5860
578,0.001474,5870,190426,5870
579,0.001414,5880,177884,5880
580,0.001447,5890,179924,5890
581,0.001375,5900,179404,5900
582,0.001446,5910,176892,5910
583,0.001393,5920,171344,5920
584,0.001513,5930,192982,5930
585,0.001432,5940,190130,5940
586,0.001427,5950,170174,5950
587,0.001406,5960,213254,5960
588,0.001497,5970,183522,5970
589,0.001394,5980,179146,5980
590,0.001477,5990,184262,5990
591,0.001429,6000,185340,6000
592,0.001418,6010,174380,6010
593,0.001433,6020,170760,6020
594,0.001421,6030,171626,6030
595,0.001394,6040,177272,6040
596,0.001464,6050,184962,6050
597,0.00147,6060,188550,6060
598,0.001547,6070,182540,6070
599,0.001415,6080,174812,6080
600,0.001413,6090,183172,6090
601,0.001482,6100,181804,6100
602,0.001585,6110,211370,6110
603,0.001485,6120,198532,6120
604,0.00145,6130,177578,6130
605,0.001473,6140,197028,6140
606,0.001463,6150,179346,6150
607,0.001458,6160,181602,6160
608,0.001536,6170,172908,6170
609,0.001517,6180,191336,6180
610,0.001518,6190,180538,6190
611,0.001943,6200,186718,6200
612,0.00149,6210,182458,6210
613,0.001589,6220,190098,6220
614,0.00159,6230,197406,6230
615,0.001505,6240,184312,6240
616,0.00156,6250,185180,6250
617,0.001505,6260,189128,6260
618,0.001496,6270,186938,6270
619,0.001496,6280,182698,6280
620,0.001582,6290,194862,6290
621,0.001534,6300,199876,6300
622,0.001558,6310,188548,6310
623,0.001489,6320,187170,6320
624,0.001561,6330,191540,6330
625,0.001494,6340,186170,6340
626,0.001691,6350,200026,6350
627,0.001539,6360,195054,6360
628,0.001515,6370,179740,6370
629,0.001624,6380,205256,6380
630,0.001535,6390,189350,6390
631,0.00156,6400,200426,6400
632,0.001566,6410,189290,6410
633,0.001572,6420,188206,6420
634,0.001622,6430,188870,6430
635,0.001575,6440,192414,6440
636,0.001687,6450,196940,6450
637,0.001547,6460,193578,6460
638,0.001496,6470,188474,6470
639,0.001631,6480,210740,6480
640,0.001622,6490,207698,6490
641,0.001564,6500,195644,6500
642,0.001854,6510,230816,6510
643,0.001654,6520,208562,6520
644,0.001597,6530,193838,6530
645,0.001657,6540,190808,6540
646,0.001523,6550,187870,6550
647,0.001659,6560,202852,6560
648,0.001635,6570,213530,6570
649,0.001655,6580,197944,6580
650,0.001681,6590,216950,6590
651,0.001649,6600,203558,6600
652,0.001637,6610,200416,6610
653,0.001647,6620,190458,6620
654,0.001709,6630,210914,6630
655,0.001688,6640,192150,6640
656,0.001766,6650,201546,6650
657,0.001554,6660,202268,6660
658,0.001638,6670,197770,6670
659,0.00167,6680,222442,6680
660,0.00168,6690,196630,6690
661,0.001615,6700,193960,6700
662,0.001724,6710,197238,6710
663,0.001717,6720,206630,6720
664,0.001691,6730,206908,6730
665,0.00168,6740,201852,6740
666,0.001585,6750,206908,6750
667,0.00164,6760,197090,6760
668,0.001633,6770,202158,6770
669,0.001691,6780,201434,6780
670,0.001594,6790,197706,6790
671,0.001645,6800,209280,6800
672,0.001612,6810,204716,6810
673,0.001714,6820,205360,6820
674,0.001689,6830,219254,6830
675,0.001615,6840,205030,6840
676,0.00168,6850,211206,6850
677,0.001775,6860,213190,6860
678,0.001681,6870,199406,6870
679,0.001674,6880,211390,6880
680,0.00172,6890,219144,6890
681,0.001781,6900,218386,6900
682,0.001772,6910,213244,6910
683,0.001729,6920,209312,6920
684,0.001756,6930,210890,6930
685,0.001729,6940,222748,6940
686,0.00166,6950,213060,6950
687,0.001746,6960,196854,6960
688,0.001736,6970,205890,6970
689,0.001732,6980,208376,6980
690,0.001721,6990,211802,6990
691,0.001811,7000,218942,7000
692,0.001691,7010,205244,7010
693,0.001754,7020,224006,7020
694,0.001836,7030,232474,7030
695,0.001903,7040,241774,7040
696,0.001884,7050,215976,7050
697,0.001738,7060,221068,7060
698,0.001792,7070,210698,7070
699,0.001926,7080,229458,7080
700,0.002131,7090,225498,7090
701,0.001728,7100,215104,7100
702,0.001781,7110,212658,7110
703,0.001932,7120,230322,7120
704,0.001716,7130,204722,7130
705,0.001745,7140,207184,7140
706,0.001808,7150,224442,7150
707,0.001729,7160,217940,7160
708,0.001818,7170,220298,7170
709,0.00178,7180,217134,7180
710,0.001798,7190,218566,7190
711,0.001878,7200,235032,7200
712,0.001782,7210,220390,7210
713,0.001791,7220,218442,7220
714,0.001861,7230,223628,7230
715,0.00197,7240,226782,7240
716,0.0024,7250,230182,7250
717,0.001949,7260,229766,7260
718,0.001889,7270,230252,7270
719,0.00191,7280,218462,7280
720,0.001879,7290,223348,7290
721,0.001947,7300,247658,7300
722,0.002248,7310,238118,7310
723,0.001874,7320,240466,7320
724,0.001761,7330,224918,7330
725,0.001884,7340,218722,7340
726,0.001891,7350,235494,7350
727,0.001866,7360,220522,7360
728,0.001923,7370,228710,7370
729,0.001881,7380,217118,7380
730,0.001906,7390,249906,7390
731,0.001926,7400,221458,7400
732,0.001838,7410,230692,7410
733,0.001869,7420,225880,7420
734,0.001948,7430,224208,7430
735,0.001933,7440,224490,7440
736,0.002071,7450,224656,7450
737,0.002117,7460,240244,7460
738,0.001865,7470,224824,7470
739,0.001923,7480,232842,7480
740,0.001821,7490,223470,7490
741,0.002235,7500,241850,7500
742,0.001942,7510,227342,7510
743,0.001951,7520,220188,7520
744,0.002041,7530,224488,7530
745,0.001882,7540,225648,7540
746,0.002047,7550,249678,7550
747,0.002019,7560,229492,7560
748,0.001991,7570,260140,7570
749,0.002118,7580,232676,7580
750,0.001906,7590,233680,7590
751,0.001865,7600,236068,7600
752,0.002231,7610,236084,7610
753,0.001966,7620,241936,7620
754,0.001865,7630,234208,7630
755,0.001882,7640,235910,7640
756,0.001879,7650,232568,7650
757,0.001899,7660,243690,7660
758,0.00189,7670,228192,7670
759,0.002067,7680,247226,7680
760,0.001902,7690,246148,7690
761,0.001904,7700,233448,7700
762,0.001964,7710,238902,7710
763,0.00195,7720,231716,7720
764,0.001923,7730,231490,7730
765,0.00205,7740,235184,7740
766,0.001916,7750,235660,7750
767,0.001935,7760,232622,7760
768,0.001954,7770,243266,7770
769,0.001886,7780,248562,7780
770,0.002075,7790,261002,7790
771,0.001985,7800,248778,7800
772,0.001942,7810,236728,7810
773,0.001955,7820,242154,7820
774,0.001898,7830,246140,7830
775,0.001886,7840,247864,7840
776,0.002057,7850,249036,7850
777,0.002004,7860,257690,7860
778,0.001854,7870,237764,7870
779,0.002012,7880,238292,7880
780,0.001968,7890,238082,7890
781,0.002038,7900,270232,7900
782,0.002051,7910,254610,7910
783,0.001955,7920,253722,7920
784,0.001963,7930,232044,7930
785,0.002026,7940,240182,7940
786,0.002001,7950,240820,7950
787,0.00203,7960,252264,7960
788,0.001975,7970,232024,7970
789,0.002005,7980,241702,7980
790,0.00201,7990,262772,7990
791,0.001923,8000,245504,8000
792,0.002086,8010,269406,8010
793,0.002046,8020,251336,8020
794,0.002013,8030,248830,8030
795,0.002136,8040,256690,8040
796,0.002068,8050,245242,8050
797,0.002048,8060,248268,8060
798,0.00206,8070,256096,8070
799,0.002726,8080,271442,8080
800,0.002518,8090,250268,8090
801,0.00244,8100,236724,8100
802,0.002448,8110,248920,8110
803,0.002627,8120,287146,8120
804,0.002537,8130,243470,8130
805,0.002482,8140,262264,8140
806,0.002603,8150,256090,8150
807,0.002831,8160,282912,8160
808,0.002943,8170,273776,8170
809,0.002657,8180,240990,8180
810,0.002509,8190,240360,8190
811,0.002114,8200,263684,8200
812,0.002025,8210,251410,8210
813,0.00234,8220,255890,8220
814,0.002637,8230,249820,8230
815,0.002597,8240,256208,8240
816,0.002751,8250,263158,8250
817,0.002539,8260,243892,8260
818,0.00209,8270,251174,8270
819,0.001973,8280,236334,8280
820,0.002106,8290,245598,8290
821,0.002827,8300,280888,8300
822,0.002873,8310,261866,8310
823,0.00266,8320,260146,8320
824,0.002854,8330,265818,8330
825,0.002741,8340,251444,8340
826,0.00212,8350,268572,8350
827,0.002092,8360,255388,8360
828,0.002412,8370,297878,8370
829,0.002096,8380,262646,8380
830,0.002069,8390,266524,8390
831,0.002076,8400,259834,8400
832,0.002176,8410,258034,8410
833,0.002063,8420,261692,8420
834,0.002081,8430,261594,8430
835,0.002097,8440,263376,8440
836,0.002065,8450,250988,8450
837,0.002116,8460,279224,8460
838,0.002111,8470,262260,8470
839,0.002077,8480,264272,8480
840,0.002114,8490,260114,8490
841,0.002231,8500,269984,8500
842,0.002219,8510,305364,8510
843,0.00217,8520,269588,8520
844,0.002229,8530,276268,8530
845,0.002125,8540,258934,8540
846,0.00272,8550,266308,8550
847,0.002337,8560,258538,8560
848,0.002207,8570,273328,8570
849,0.002249,8580,264254,8580
850,0.002243,8590,280248,8590
851,0.002116,8600,254138,8600
852,0.002247,8610,314552,8610
853,0.002174,8620,278972,8620
854,0.002172,8630,268740,8630
855,0.002177,8640,252598,8640
856,0.002256,8650,266404,8650
857,0.002285,8660,269920,8660
858,0.002221,8670,279442,8670
859,0.002201,8680,251366,8680
860,0.002309,8690,271064,8690
861,0.002187,8700,284448,8700
862,0.002199,8710,257438,8710
863,0.002641,8720,261492,8720
864,0.002193,8730,260550,8730
865,0.00228,8740,274646,8740
866,0.002221,8750,257696,8750
867,0.002551,8760,284822,8760
868,0.002816,8770,317138,8770
869,0.002503,8780,297178,8780
870,0.002339,8790,289068,8790
871,0.002201,8800,273594,8800
872,0.002177,8810,272076,8810
873,0.00226,8820,280156,8820
874,0.00227,8830,280260,8830
875,0.002278,8840,285572,8840
876,0.002217,8850,291824,8850
877,0.002378,8860,287274,8860
878,0.002212,8870,270150,8870
