SNo,Time,Flag,Size,Iterations,Key
1,1e-06,1,100,63,9
2,1e-06,1,300,163,12
3,2e-06,1,500,263,60
4,3e-06,1,700,663,765
5,1e-06,1,900,163,1102
6,3e-06,1,1100,663,765
7,2e-06,1,1300,163,1102
8,3e-06,1,1500,763,820
9,4e-06,1,1700,1163,1623
10,0,1,1900,63,2411
11,5e-06,1,2100,1363,3764
12,4e-06,1,2300,963,2911
13,4e-06,1,2500,1763,2357
14,4e-06,1,2700,1063,4733
15,1e-06,1,2900,163,1102
16,2e-06,1,3100,463,830
17,5e-06,1,3300,2863,113
18,5e-06,1,3500,2763,2372
19,2e-06,1,3700,363,870
20,1e-06,1,3900,163,1102
21,5e-06,1,4100,2963,740
22,1e-05,1,4300,3763,5748
23,7e-06,1,4500,3763,5748
24,7e-06,1,4700,4063,2961
25,5e-06,1,4900,2763,8631
26,5e-06,1,5100,2863,113
27,7e-06,1,5300,4463,6920
28,3e-06,1,5500,1763,2357
29,6e-06,1,5700,1963,10996
30,9e-06,1,5900,5363,8881
31,4e-06,1,6100,2563,11054
32,9e-06,1,6300,5563,4976
33,5e-06,1,6500,2763,8631
34,2e-06,1,6700,563,7401
35,1e-05,1,6900,5563,4976
36,1.1e-05,1,7100,4363,8197
37,1.1e-05,1,7300,6663,8039
38,1.1e-05,1,7500,6763,9347
39,1e-06,1,7700,663,4998
40,1.1e-05,1,7900,6763,9347
41,2e-06,1,8100,1063,4733
42,2e-06,1,8300,463,15686
43,1.1e-05,1,8500,6263,10753
44,1e-06,1,8700,163,1102
45,5e-06,1,8900,2563,14302
46,5e-06,1,9100,2763,17872
47,1e-06,1,9300,463,15686
48,9e-06,1,9500,5763,1721
49,1e-06,1,9700,363,17564
50,5e-06,1,9900,2863,13610
51,2e-06,1,10100,1063,17118
52,1.6e-05,1,10300,9763,5512
53,1.5e-05,1,10500,9763,5512
54,1.3e-05,1,10700,8063,13476
55,1.2e-05,1,10900,7163,6067
56,7e-06,1,11100,4063,11191
57,1e-06,1,11300,563,7401
58,6e-06,1,11500,3263,18127
59,0,1,11700,163,1102
60,1e-05,1,11900,6263,10753
61,9e-06,1,12100,5063,9033
62,1.2e-05,1,12300,7063,16208
63,3e-06,1,12500,1763,21241
64,1.1e-05,1,12700,6463,492
65,6e-06,1,12900,3763,12426
66,7e-06,1,13100,4063,11191
67,1.2e-05,1,13300,7663,22911
68,6e-06,1,13500,3763,12426
69,1.7e-05,1,13700,10563,22594
70,1.3e-05,1,13900,7763,1281
71,7e-06,1,14100,4063,11191
72,1.7e-05,1,14300,10563,22594
73,1.9e-05,1,14500,11763,12911
74,1.2e-05,1,14700,7663,22911
